,ftd_date,count,volume
145,2025-05-29,13,23334.907567137703
146,2025-05-30,10,1290.1800319096708
147,2025-05-31,2,1394.8455716915525
148,2025-06-01,2,7193.024012108321
149,2025-06-02,20,11771.420971898393
150,2025-06-03,20,14438.56564417178
151,2025-06-04,9,9296.528784648188
152,2025-06-05,8,2408.001344250275
153,2025-06-06,5,1116.0071680233266
154,2025-06-09,26,6236.470160116448
155,2025-06-10,14,3513.8485747140353
156,2025-06-11,23,3261.3325690557867
157,2025-06-12,17,4118.847815650504
158,2025-06-13,13,5973.835844281066
159,2025-06-14,5,694.3600858110954
160,2025-06-15,4,346.79420475466264
161,2025-06-16,21,5513.410030559051
162,2025-06-17,13,7569.211640274873
163,2025-06-18,14,11861.04917261655
164,2025-06-19,7,679.6184210526317
165,2025-06-20,27,10223.221244110457
